arrival_time_s,packet_size_bytes,backlog_bytes,departure_time_s,waiting_time_s,dropped,cum_drops
1.009361708,30,0,1.009673917,0.000312209,0,0
1.009466542,30,0,1.009913917,0.000447375,0,0
1.009478917,99,30,1.010705917,0.001227,0,0
1.009928833,27,0,1.010921917,0.000993084,0,0
1.010720375,80,0,1.011561917,0.000841542,0,0
1.010728208,99,80,1.012353917,0.001625709,0,0
1.010732708,13,179,1.012457917,0.001725209,0,0
1.010739333,138,192,1.013561917,0.002822584,0,0
1.010747833,124,330,1.014553917,0.003806084,0,0
1.010754792,110,454,1.015433917,0.004679125,0,0
1.010757167,97,564,1.016209917,0.00545275,0,0
1.010761208,21,661,1.016377917,0.005616709,0,0
1.0107655,4,682,1.016409917,0.005644417,0,0
1.011004792,88,606,1.017113917,0.006109125,0,0
1.01102625,50,694,1.017513917,0.006487667,0,0
1.011573875,68,645,1.018057917,0.006484042,0,0
1.011579625,325,713,1.020657917,0.009078292,0,0
1.011584417,144,1038,1.021809917,0.0102255,0,0
1.011586875,53,1182,1.022233917,0.010647042,0,0
1.011589292,19,1235,1.022385917,0.010796625,0,0
1.011592333,100,1254,1.023185917,0.011593584,0,0
1.012362875,10,1341,1.023265917,0.010903042,0,0
1.012366958,27,1351,1.023481917,0.011114959,0,0
1.01236925,6,1378,1.023529917,0.011160667,0,0
1.012380167,385,1384,1.026609917,0.01422975,0,0
1.0124685,20,1631,1.026769917,0.014301417,0,0
1.0124785,135,1651,1.028478792,0.016000292,0,0
1.012514458,23,1662,1.028662792,0.016148334,0,0
1.012937792,80,1685,1.029407875,0.016470083,0,0
1.012999042,72,1765,1.029983875,0.016984833,0,0
1.013080375,23,1837,1.030167875,0.0170875,0,0
1.013148,91,1860,1.030895875,0.017747875,0,0
1.013521292,156,1951,1.032143875,0.018622583,0,0
1.013699125,379,2107,1.035175875,0.02147675,0,0
1.013727542,13,2486,1.035279875,0.021552333,0,0
1.013784792,227,2499,1.037138583,0.023353791,0,0
1.013814042,92,2726,1.037874583,0.024060541,0,0
