1	0	30
2	1	99
3	2	27
4	3	80
5	4	13
6	4	138
7	4	124
8	4	110
9	4	97
10	5	21
11	5	4
12	6	88
13	6	50
14	7	68
15	7	325
16	7	144
17	7	53
18	7	19
19	7	100
20	8	10
21	9	6
22	10	385
23	10	20
24	11	135
25	11	23
26	13	72
27	13	23
28	14	91
29	15	156
30	16	379
31	16	227
32	16	92
33	16	132
34	17	8
35	18	159
36	19	57
37	19	260
38	20	20
39	22	127
40	23	22
41	23	110
42	23	61
43	24	43
44	26	8
45	27	127
46	28	131
47	28	91
48	29	132
49	29	320
50	30	121
51	31	15
52	32	47
53	32	57
54	33	157
55	35	68
56	35	79
57	35	98
58	35	86
59	37	285
60	37	27
61	38	83
62	38	185
63	40	358
64	40	27
65	41	277
66	41	43
67	43	12
68	45	180
69	47	87
70	47	135
71	47	86
72	48	24
73	49	59
74	51	54
75	51	35
76	51	3
77	51	13
78	52	360
79	52	207
80	52	72
81	53	219
82	53	6
83	55	31
84	56	109
85	57	8
86	60	19
87	61	2
88	63	132
89	63	8
90	64	68
91	65	58
92	67	179
93	67	190
94	67	29
95	67	43
96	68	628
97	69	125
98	71	110
99	71	278
100	73	125
101	74	66
102	74	114
103	74	16
104	75	80
105	76	258
106	76	35
107	77	132
108	77	60
109	77	60
110	79	69
111	81	5
112	83	7
113	84	189
114	85	51
115	85	22
116	86	9
117	88	254
118	89	35
119	90	145
120	90	35
121	91	3
122	93	28
123	93	36
124	93	97
125	94	17
126	95	83
127	96	177
128	97	57
129	98	6
130	98	147
131	98	34
132	100	18
133	101	110
134	101	98
135	102	35
136	104	16
137	105	148
138	105	57
139	106	102
140	107	2
141	107	111
142	109	35
143	111	279
144	114	3
145	118	120
146	118	124
147	119	333
148	119	40
149	119	94
150	120	313
151	120	31
152	121	402
153	121	7
154	121	102
155	121	152
156	122	33
157	123	98
158	124	118
159	125	131
160	125	14
161	127	22
162	127	164
163	128	340
164	128	49
165	129	260
166	129	231
167	129	139
168	129	91
169	131	20
170	132	122
171	133	5
172	133	168
173	134	10
174	136	191
175	136	254
176	137	111
177	137	324
178	139	186
179	140	103
180	140	55
181	140	166
182	141	155
183	142	147
184	143	57
185	144	196
186	145	15
187	145	14
188	145	1
189	146	68
190	146	277
191	146	12
192	146	89
193	146	179
194	147	33
195	149	6
196	150	170
197	150	54
198	151	33
199	152	78
200	154	34
